Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
Hsia,633,France,Male,29,7,140137.15,1,1,1,130224.73,0
Ibragimova,705,France,Male,30,1,92895.56,1,1,1,181300.32,0
Allan,567,Spain,Male,29,8,117094.02,2,1,0,156125.72,0
Bianchi,672,Germany,Male,40,4,129974.79,2,1,0,188892.19,0
Mellor,565,France,Male,34,6,120811.89,1,1,1,63173.64,0
Hoelscher,667,France,Male,23,1,170600.78,2,1,0,91573.19,0
Monds,521,France,Male,37,5,123711.73,2,1,1,84908.2,0
Tan,607,Spain,Male,36,8,89087.89,1,1,1,76744.72,0
Maclean,703,France,Male,28,9,114590.58,2,0,1,2151.17,0
Burgess,771,Spain,Male,18,1,149940.04,2,0,0,41542.95,0
H?,472,France,Male,29,8,116563.58,1,0,1,181224.56,0
Chijindum,678,France,Male,54,7,111087.5,1,0,0,191746.23,1
Power,591,Spain,Female,40,1,80816.45,1,0,1,136767.16,1
Barry,686,Spain,Male,41,7,109044.6,1,0,1,194913.86,0
Colombo,502,Germany,Female,57,3,151855.33,1,1,0,43568.31,1
Kazakova,464,France,Male,38,3,160838.13,1,1,0,75574.48,0
Ofodile,727,Germany,Male,45,6,156823.7,2,1,1,104678.78,1
Enderby,633,Germany,Male,43,3,102452.71,1,1,1,158646.46,0
Stevenson,567,France,Female,45,4,109570.21,2,0,1,121053.19,0
Dawson,445,France,Male,37,3,101084.36,2,1,1,180012.39,0
Shih,484,Germany,Male,40,7,89634.69,2,0,0,118045.98,0
Chinomso,580,Germany,Female,36,6,80931.75,2,1,1,169963.2,1
Seleznyov,620,France,Male,41,3,131996.66,2,1,1,137309.06,0
Akhtar,534,France,Male,36,4,141642.92,1,1,0,36275.94,0
Burns,637,Germany,Male,40,9,116326.07,1,1,1,125334.16,1
Fernando,678,Spain,Female,27,5,165282.42,2,1,0,149550.95,0
Macleod,689,Spain,Male,40,2,145338.76,2,1,1,164768.82,0
Young,606,Germany,Male,27,2,121823.4,2,1,0,147533.09,0
McGuigan,592,Spain,Male,38,8,75361.44,2,1,0,180426.2,0
Chibueze,627,France,Male,27,1,78133.15,1,1,1,105887.04,0
Carpenter,751,Spain,Male,52,8,97514.07,2,0,1,179291.85,0
Black,806,France,Female,67,1,136953.47,2,0,1,103945.58,0
Martin,607,Germany,Male,61,2,117879.32,2,1,1,35786.76,0
Hollis,747,France,Male,29,7,152390.26,2,1,1,141706.43,0
Gibson,652,Spain,Female,36,1,158537.42,2,1,1,19302.78,0
Kao,703,France,Male,32,1,110689.07,1,1,1,56246.72,0
Gentry,466,France,Male,26,9,115280.49,1,1,0,10842.46,0
Rawlings,807,Spain,Male,42,5,87485.67,2,1,1,74900.9,0
Chienezie,544,Spain,Male,30,8,124540.28,1,1,1,80676.83,0
Bogle,620,Spain,Male,21,9,152328.88,2,0,0,154882.79,0
Graham,528,France,Male,29,3,121818.84,1,1,0,55972.56,0
Lampungmeiua,545,Spain,Female,74,3,96402.96,2,1,1,161326.73,0
Reeves,601,France,Male,40,10,95696.52,1,0,0,173245.68,0
McMillan,586,Germany,Male,32,1,147127.81,1,1,0,31830.06,0
Yao,630,Spain,Male,30,3,124447.73,2,0,1,10486.69,0
Wiley,579,Germany,Male,31,2,163760.82,2,1,1,18800.13,0
Lambert,678,Spain,Female,40,4,144889.18,1,1,0,16618.76,0
Webb,545,Spain,Female,44,1,133658.24,2,1,1,82614.89,0
Harris,805,Germany,Male,50,9,129667.77,1,1,0,62989.82,1
Farnsworth,724,France,Male,28,5,89047.14,1,1,1,96498.14,0
Gorman,674,France,Male,36,2,115406.97,1,0,1,27468.72,0
Hill,676,Spain,Male,48,1,12459.19,2,0,1,14152.15,0
Browne,850,Germany,Female,66,0,108262.87,1,0,1,118929.64,1
Gunson,606,France,Male,40,6,88826.07,2,1,0,46774.94,0
Brigstocke,604,France,Male,30,5,109172.88,2,1,0,75786.55,0
Adams,807,Germany,Female,60,1,141918.09,2,1,1,17355.36,0
Hutchinson,564,Spain,Male,48,5,122726.56,1,1,0,79259.77,0
Tomlinson,738,Spain,Male,36,5,144801.97,2,1,1,96881.32,0
Chuang,697,Germany,Female,48,2,102540.61,2,1,1,103944.37,0
MacDonald,665,France,Male,35,8,62339.81,1,1,0,169287.99,0
Sung,743,France,Male,71,0,84607.34,2,0,1,29837.65,0
Arnold,653,France,Male,44,8,165982.43,2,1,1,154639.72,0
Hunter,563,France,Male,33,8,143625.83,2,0,1,68815.05,0
Dike,671,France,Male,45,2,78992.75,1,0,1,158264.62,0
Zetticci,519,France,Male,34,5,90432.92,1,1,0,68479.6,0
Cameron,642,Germany,Male,49,4,161993.89,1,1,0,24770.22,1
Folliero,677,Spain,Female,43,3,129440.3,2,1,1,95936.84,0
Craig,722,France,Male,30,5,138033.55,2,1,0,166376.54,0
Yin,555,Germany,Male,48,3,137239.17,2,0,1,79134.78,0
Newbold,494,Germany,Female,38,7,118715.86,1,1,0,40084.32,0
Le Gallienne,484,Spain,Female,39,5,60280.62,2,1,1,175224.12,0
Johnston,660,Spain,Male,31,1,97560.16,1,1,1,137784.25,0
Milanesi,769,France,Male,29,4,132739.26,1,1,0,188382.77,0
Summerville,558,Germany,Female,36,0,110086.69,2,1,1,172363.52,0
Dalrymple,542,France,Male,39,3,190569.23,1,1,1,14353.43,1
Cheng,576,France,Male,39,1,61825.5,2,1,1,68814.23,0
Chiu,510,Germany,Female,50,7,81564.1,1,1,1,23768.01,0
Manna,478,France,Female,38,4,115643.58,1,1,0,51820.87,1
Martin,786,France,Male,32,2,145618.37,2,0,0,79602.86,0
Horton,612,Germany,Male,76,6,148556.74,1,1,1,191393.26,0
Tan,804,France,Female,71,8,83739.32,2,0,1,147995.96,0
Ndukaku,746,France,Male,35,2,206868.78,1,1,0,22374.97,0
Muir,576,Germany,Male,28,1,121702.73,2,0,1,58976.85,0
Learmonth,675,Germany,Male,42,2,153819.58,2,1,0,8567.18,0
Andrejew,521,France,Male,38,6,125427.37,2,1,0,51454.06,0
Kirby,714,Germany,Female,55,9,132403.56,1,1,1,100127.71,0
Maslova,670,Germany,Female,32,4,175303.06,2,0,1,134942.45,0
Iadanza,614,Spain,Female,41,7,106012.2,1,0,0,14666.35,1
Ch'eng,850,France,Male,30,6,142296.13,1,1,1,188809.23,0
Greco,710,Germany,Male,58,7,88348.43,2,0,1,10494.64,0
Fallaci,491,Germany,Female,57,4,98903.06,1,1,1,41229.73,1
Davide,717,Spain,Female,34,1,149400.27,2,1,0,119313.74,0
Han,605,France,Female,36,6,130694.89,1,0,1,690.84,0
Boulger,654,Germany,Male,37,2,111599.32,2,0,0,186300.59,0
Greco,730,Spain,Male,62,2,130666.2,2,1,1,186489.95,0
Dixon,721,France,Male,40,9,132217.45,1,1,1,160277.65,0
Tan,770,Germany,Male,45,4,125734.2,1,1,0,26163.74,1
Shih,829,Germany,Male,36,4,121581.56,2,1,0,90106.94,0
Dellucci,685,Germany,Male,43,9,123204.88,2,0,1,194808.51,0
Fleming,827,Spain,Female,35,0,118536.4,2,0,1,184514.01,0
Maruff,731,Germany,Male,37,3,82321.88,1,0,0,172718.35,1
Sung,527,Spain,Male,53,8,125023.1,1,1,1,51711.57,0
Ebelechukwu,588,France,Male,31,4,168396.34,2,0,1,35877.03,0
Chiemenam,542,Spain,Male,43,6,108736.52,1,1,0,89543.25,0
Brooks,619,France,Male,39,5,114135.17,2,1,1,158444.61,0
Abramovich,667,Spain,Male,71,4,137453.43,1,0,1,94433.08,1
Trevisan,722,France,Female,47,2,141267.67,1,1,1,90655.94,1
Galkin,562,Spain,Female,35,0,120092.52,2,1,0,119899.52,0
McGregor,645,France,Male,19,9,68892.77,1,0,0,175969.19,0
McIntyre,547,Germany,Female,42,1,122552.48,1,1,0,86207.49,1
Wall,541,Germany,Male,51,7,118311.76,2,1,0,179861.79,0
Lord,655,Spain,Female,34,4,71816.74,2,1,0,134034.32,0
Gerasimova,667,Germany,Male,55,9,102365.49,1,1,1,137674.96,1
H?,646,France,Male,38,7,107467.56,2,1,0,1528.4,0
Giordano,655,France,Male,44,8,124548.99,1,0,1,188593.98,0
Nnabuife,616,Germany,Female,45,4,100431.84,1,1,1,62002.04,0
Pai,633,Germany,Male,50,7,103291.25,1,1,1,195937.16,0
Liu,630,France,Male,67,5,124442.38,2,1,1,27330.27,0
Mai,528,Germany,Male,22,5,133800.98,2,0,1,961.57,0
Madukaego,640,France,Male,68,9,164284.72,2,1,1,199493.38,0
Page,530,France,Male,37,8,79562.98,2,1,1,287.99,0
Ajuluchukwu,601,Germany,Female,49,4,186445.31,2,1,0,104263.82,0
Miller,611,France,Male,27,7,53772.73,2,1,1,157474.1,0
Douglas,479,France,Male,34,5,182275.23,2,0,0,113308.29,0
Mishina,803,Spain,Female,45,7,146502.07,2,1,1,128378.04,0
Rahman,799,Spain,Female,28,3,140614.15,1,1,0,45042.56,0
Udinesi,466,Germany,Male,41,2,143145.87,2,1,0,181879.56,0
Trentino,817,Germany,Male,58,3,90594.55,2,1,1,42831.11,0
Hsueh,712,Spain,Female,39,5,72664,2,1,1,23702.42,0
Samsonova,761,Spain,Female,34,2,133845.28,2,1,0,61251.25,0
Yost,480,Germany,Male,44,10,137318.42,1,1,0,5472.7,1
Milanesi,829,Germany,Female,37,3,137262.71,1,0,0,1114.12,0
Jamieson,481,Germany,Male,44,3,92140.15,1,1,0,96123.72,0
Browne,744,France,Male,31,9,140197.18,1,1,1,58961.49,0
Bledsoe,624,Germany,Female,48,3,113657.41,2,0,0,30020.09,0
Walker,686,Germany,Female,39,4,109958.15,2,1,0,162820.6,0
Chukwujamuike,766,France,Female,27,7,124616.23,2,0,1,47579.25,0
Flannagan,675,Spain,Male,31,2,114169.16,2,1,0,60270.87,0
Gresswell,586,Germany,Male,46,8,113386.36,1,1,1,79366.98,1
Parkinson,553,Spain,Male,47,3,180293.84,1,0,0,145704.19,1
Chen,681,France,Female,43,8,121778.71,1,0,0,114659.81,0
Endrizzi,739,France,Male,58,2,185063.7,1,1,1,72168.53,0
Watson,620,France,Male,41,0,107136.6,1,1,0,85000.32,0
Wall,595,Germany,Male,46,5,165272.13,2,1,0,48421.4,1
Stewart,708,France,Female,51,8,112330.83,1,1,1,92920.04,1
Webb,658,Germany,Male,29,5,108308.11,2,0,1,54914.92,0
Bold,465,France,Male,41,9,75075.31,1,1,0,168280.95,0
Johnson,667,Spain,Male,39,9,77780.29,2,1,0,68873.8,0
Ramsden,650,France,Male,33,0,79450.09,1,1,0,52411.99,0
Wallace,684,France,Male,35,6,150795.81,1,1,1,87219.41,0
Allnutt,530,France,Female,55,4,80964.57,1,0,1,123475.88,1
Trevisano,589,France,Female,39,7,104502.11,2,0,0,95985.64,0
Graham,793,Spain,Male,25,3,118633.08,1,0,0,10579.72,0
Yobachukwu,729,Spain,Female,45,7,145260.23,2,1,0,71133.12,0
Parry,736,Germany,Female,25,9,141462.13,2,1,0,136497.28,0
Lawrence,486,Spain,Male,24,1,114285.2,1,1,0,98802.76,0
Wei,540,France,Male,25,5,121240.76,1,1,0,13411.67,0
Iqbal,716,France,Male,38,4,110357,2,1,0,189678.7,0
Wu,577,France,Male,60,10,102143.93,2,1,1,178616.73,0
Mead,422,France,Male,41,6,103604.31,1,1,0,11663.09,0
Kelechi,617,Germany,Female,37,4,151709.33,2,1,0,175324.74,1
Lombardi,564,Spain,Male,37,9,97460.1,1,1,1,146033.52,0
Kaeppel,850,Spain,Female,29,1,205962,2,1,1,197996.65,0
Samsonova,721,Germany,Male,37,3,179539.2,1,1,1,158591.12,0
Bibi,815,Germany,Female,25,8,124730.26,1,1,1,136071.05,0
Chase,585,Spain,Male,36,10,151607.56,2,1,1,180318.6,0
Rickards,547,Germany,Female,30,9,128736.39,1,1,0,77077.14,0
Bobrov,656,Germany,Female,23,4,129378.32,1,0,1,21085.12,0
Yefremova,774,France,Female,42,3,167026.61,1,0,0,199316.19,0
Lu,600,Spain,Female,27,6,45472.28,2,1,1,172031.22,0
Welch,668,Germany,Female,37,6,92636.96,1,1,0,115638.29,0
Wallace,559,France,Female,31,3,125608.72,1,0,1,160941.78,0
Lucciano,576,France,Male,36,6,59532.18,2,1,1,48314,0
Quaife,770,Spain,Male,55,9,82161.7,2,1,0,185211.28,1
Tsai,581,Germany,Male,40,0,105799.32,1,0,1,7926.35,1
Clapp,589,France,Female,50,4,89900.24,2,0,1,182076.97,0
Ch'en,698,Germany,Female,64,1,148071.39,1,1,0,84760.32,1
Hs?,556,France,Female,46,10,83456.79,2,0,0,109184.24,0
Artemiev,507,France,Male,36,4,39539.39,1,0,0,140134.43,0
Ifeanyichukwu,725,France,Male,45,1,121681.82,1,0,0,24218.65,0
Dubinina,669,France,Male,25,1,114835.43,1,0,0,37543.93,1
Pai,593,Germany,Female,38,4,141078.37,1,1,1,154071.27,0
Thomas,660,Germany,Male,39,9,151933.63,2,1,0,183095.87,0
Hsia,601,France,Male,74,2,139603.22,2,0,1,51554.58,0
Pinto,576,France,Female,52,9,120911.75,2,0,0,148477.57,1
Greco,850,France,Male,40,8,111233.09,1,1,0,60811.56,0
Fan,594,France,Male,23,5,141223.68,1,1,0,160968.44,0
Korovin,686,Spain,Female,36,5,88363.03,2,1,1,152979.14,0
Ts'ao,741,France,Male,39,5,129938.07,1,0,1,40207.06,0
Adams,570,Spain,Male,21,7,94867.18,1,1,1,148087.62,0
He,590,Spain,Female,44,3,57068.43,1,1,0,62222.81,0
Hung,738,France,Male,31,9,147092.65,1,1,0,41970.72,0
Badgery,731,France,Male,30,7,86350.87,2,1,1,184581.68,0
Johnston,612,Spain,Female,52,5,160541.36,1,0,0,98302.57,1
Chen,701,Spain,Female,42,5,134542.73,2,0,0,24210.56,0
Ts'ui,463,Spain,Male,20,8,128306.7,1,1,0,128268.39,0
Degtyarev,655,Germany,Male,32,9,99883.16,1,1,0,82084.3,0
Byrne,547,Germany,Male,41,3,97378.54,1,1,0,175295.89,1
Ma,636,Spain,Male,76,9,169312.13,1,1,1,39789.62,0
Endrizzi,516,Germany,Male,32,3,146343.98,2,0,0,111421.45,0
Alexander,720,Germany,Male,23,0,136496.12,2,1,1,104120.17,0
Eluemuno,664,Spain,Female,53,7,134388.11,1,1,0,186392.99,1
Rubin,814,Spain,Female,72,2,95772.97,2,0,1,130853.03,0
Pugliesi,795,Germany,Male,37,2,124601.58,2,1,1,198745.94,0
Briggs,524,Spain,Male,29,3,147435.96,1,1,0,2705.31,1
Porter,607,Spain,Male,34,9,123699.28,1,1,0,177747.72,0
McEwan,625,Germany,Female,37,4,170291.22,1,1,0,35625.41,0
Jackson,540,France,Male,48,2,160997.54,1,1,0,88703.04,1
Reppert,682,France,Female,26,0,104091.29,1,0,1,111879.21,0
Micco,706,Spain,Female,46,2,104552.61,2,1,0,150156.82,1
Ulyanov,786,Germany,Female,32,2,67111.65,2,0,0,59559.81,0
Kung,652,France,Female,36,6,98382.72,2,0,1,110421.31,0
Mancini,606,Spain,Male,30,8,148159.71,2,1,1,1914.41,0
Calabrese,656,Germany,Female,49,9,116585.97,1,1,0,74771.22,1
Li,758,France,Female,33,7,99219.47,2,0,0,82996.47,0
T'ien,621,France,Male,35,7,120711.73,1,1,0,143.34,0
Hsia,699,France,Female,43,3,119785.47,1,1,0,199378.58,1
DeRose,529,France,Male,61,1,81818.49,2,1,1,191370.97,0
Cooper,801,Spain,Female,46,6,139729.54,2,1,1,170008.74,0
Tsao,576,Spain,Male,52,2,65812.35,2,1,1,16644.16,0
Scott,590,Spain,Female,29,2,98683.47,2,1,0,122487.73,0
Simmons,488,Spain,Female,39,9,85996.19,1,0,0,12440.44,0
Chukwuebuka,850,France,Male,39,6,95698.79,1,1,1,121681.19,0
Fraser,505,Germany,Female,37,6,83173.98,2,0,1,125307.87,0
Chan,694,France,Male,42,8,83693.34,1,1,0,36405.21,0
Hargreaves,722,Spain,Female,35,1,122647.32,1,1,0,125240.8,0
Chukwufumnanya,710,Germany,Female,24,7,117466.03,2,1,0,173276.62,0
Hu,572,Germany,Female,54,9,112994.65,1,1,1,195771.95,0
Gardner,583,France,Male,38,8,174902.26,1,1,0,47848.56,0
Vincent,642,France,Male,30,8,142688.57,1,0,0,61977.82,0
Evseev,757,Germany,Male,36,1,118829.03,1,0,0,64539.64,0
Hannam,649,Germany,Male,40,4,175735.5,1,0,1,123202.99,0
Rippey,603,France,Male,40,4,101160.99,2,1,1,38829.11,0
Napolitani,587,Spain,Female,35,3,101014.08,1,1,0,125553.52,0
Fyodorova,589,France,Male,29,2,118636.92,2,0,1,98320.27,0
Kennedy,581,France,Male,38,1,134593.79,2,1,0,46176.22,0
Teng,519,France,Male,42,8,124266.86,2,1,1,101485.72,0
Rose,706,France,Male,38,1,115636.05,2,1,0,122379.54,0
Rozhkova,596,France,Male,36,2,76656.4,2,1,1,12067.39,0
Charlton,776,Germany,Male,33,8,106702.94,1,0,0,129525.5,1
Scott,613,Germany,Male,33,3,131955.07,2,1,1,57751.21,0
Napolitani,687,Spain,Female,50,5,109542.29,2,1,0,110230.4,0
MacDonald,535,France,Male,47,0,106138.33,1,0,1,145986.35,0
Nielson,630,Spain,Male,41,7,61482.47,1,0,1,46156.87,0
McDowell,484,France,Male,41,5,187534.79,1,1,1,74267.35,0
Saad,681,Spain,Female,37,6,105603.21,1,1,1,146366.08,0
Johnson,720,Spain,Male,34,3,117356.19,2,1,1,77047.78,0
Gray,567,Germany,Male,41,0,103163.35,1,1,1,105746.94,0
Yeh,660,Germany,Female,29,6,184715.86,1,1,1,123850.58,0
Aksenov,532,France,Female,40,5,114292.48,2,0,1,177099.71,0
Ts'ao,601,France,Male,44,1,152092.44,2,1,1,62678.53,0
Brient,589,Germany,Male,38,8,171490.78,1,1,0,99106.97,0
Ikemefuna,679,Germany,Female,30,4,51962.91,1,1,1,121151.46,0
Yuan,779,Germany,Female,40,2,118627.16,1,1,1,52894.01,0
Rosas,476,Spain,Female,69,1,174701.05,1,0,1,134260.34,0
Davies,611,France,Male,64,9,97530.25,2,1,1,53277.15,0
Chang,704,Germany,Female,39,1,135759.4,1,1,0,116511.12,1
Grosse,811,France,Male,46,9,105214.58,1,1,0,13464.64,1
Forbes,395,Germany,Female,34,5,127209,1,1,1,17376.57,1
T'ien,692,Spain,Male,46,2,124233.24,2,1,1,105983.09,0
Quinn,701,Spain,Female,21,9,157228.61,2,1,1,26327.42,0
Johnston,607,Spain,Female,62,8,137688.71,1,1,1,23386.77,1
Volkova,766,Germany,Female,45,6,90963.49,1,1,0,127332.33,0
Wilson,789,France,Female,53,1,126615.94,1,1,1,5036.39,1
Blackburn,692,Spain,Female,34,4,116120.19,1,1,1,37898.91,0
Wan,611,France,Male,38,4,128760.32,2,1,0,2444.29,0
Eames,565,Germany,Male,59,9,64404.26,1,1,1,170705.53,0
Wallace,740,Germany,Male,40,4,160541,2,1,0,129333.69,1
St Clair,477,Germany,Female,39,4,165149.13,1,1,0,185830.72,0
Kenyon,850,Spain,Female,41,3,135827.33,2,1,0,71179.31,0
Lewis,797,Germany,Male,32,1,170214.23,1,1,0,8877.06,0
Rearick,513,Spain,Male,88,10,143129.41,2,1,1,52952.24,0
Otutodilichukwu,540,Spain,Male,37,0,138937.35,1,1,0,28257.89,0
Salter,682,Germany,Male,36,5,129209.48,2,1,0,36895.99,0
Lavrentiev,647,Germany,Female,35,3,65667.79,2,1,0,147930.46,0
Milne,700,Germany,Female,28,3,98052.66,2,0,0,146723.72,0
Adams,705,France,Male,32,7,91292.7,2,1,0,7921.57,0
Power,507,France,Male,42,6,182532.23,2,1,0,34777.23,0
T'an,760,Spain,Male,28,1,109740.62,2,0,0,16287.38,0
Moran,666,France,Male,36,4,47364.45,2,1,0,33701.5,0
Ch'eng,619,Germany,Male,41,3,80462.24,2,1,0,170518.83,0
Phillips,736,France,Female,29,9,205770.78,2,0,0,176152.7,0
Seleznyov,479,France,Male,47,6,114193.24,1,0,1,5811.9,1
Chuang,750,Spain,Female,34,9,148200.72,1,0,0,150401.53,1
Royston,702,Spain,Female,38,9,118962.58,2,1,1,158527.45,0
Fields,834,Germany,Female,68,9,118889.66,2,0,1,93112.2,0
Achebe,651,Germany,Female,41,4,144751.81,1,0,1,151303.48,0
Goddard,540,Spain,Male,39,1,142882.49,1,0,1,108419.41,0
Piazza,516,Spain,Female,33,3,163340.12,2,1,1,58685.59,0
Drake,655,Germany,Male,52,9,138912.17,1,1,1,49025.79,0
Kodilinyechukwu,624,Spain,Female,36,0,145974.79,2,1,0,111605.9,0
Fiore,767,Germany,Male,20,3,66220.17,2,0,1,150135.38,0
Han,683,Germany,Female,39,2,80387.81,2,1,0,109201.43,0
Kwemto,573,France,Male,35,9,158414.85,2,1,0,11743.89,0
Faulkner,713,France,Male,41,3,147493.89,2,1,0,55772.04,0
Pisani,429,France,Male,60,7,135277.96,2,1,1,163691.48,0
Cremonesi,572,France,Male,33,5,116227.27,1,0,1,41139.05,0
Fiorentino,850,Spain,Female,24,1,106242.67,2,0,1,69052.87,0
Artyomova,799,Spain,Male,38,2,103471.52,2,1,1,59297.34,0
Rizzo,698,France,Male,37,8,139859.54,2,0,0,145004.39,0
Shaw,565,Germany,Male,52,5,177657.35,2,1,0,175070.94,1
Ho,635,Spain,Male,46,8,144900.58,2,1,1,60739.16,0
Scott,601,France,Male,46,2,144757.02,1,1,1,32683.88,1
Davison,521,Spain,Female,34,7,116244.14,1,1,1,20243.97,1
Milne,473,Germany,Male,40,8,118994.84,2,1,0,73073.68,0
Akabueze,741,France,Male,37,9,127913.71,2,1,1,149503.54,0
Dodgshun,691,France,Male,30,9,83015.71,1,1,0,49594.02,0
Osinachi,437,France,Female,26,1,155423.17,1,0,1,78854.57,0
Moretti,680,France,Male,33,1,28649.64,1,1,0,134960.98,0
Jamieson,850,Spain,Male,33,3,89276.48,2,1,1,136539.13,0
Boyd,772,Germany,Male,30,6,103522.75,2,0,0,197238.03,0
Hsia,604,Spain,Male,23,9,119755,1,1,1,7267.25,0
Dickson,614,Germany,Female,30,3,109166.37,2,1,0,54776.64,0
Munro,734,Spain,Male,39,6,102556.18,1,1,1,95135.27,0
Powell,710,Spain,Female,75,5,111837.78,2,1,1,9376.89,0
Watts,527,Spain,Male,37,5,132657.55,2,1,1,139093.73,0
McDonald,706,Germany,Female,29,6,84440.1,1,1,0,171037.63,0
Ritchie,705,Spain,Female,24,5,130538.77,2,0,0,79886.06,0
McDonald,589,France,Female,21,3,114450.32,2,0,1,55601.44,0
Ebelechukwu,544,Germany,Male,39,4,119963.45,2,1,0,146637.45,0
Chiemela,714,Spain,Male,45,0,114440.24,1,0,1,187194.15,0
T'ang,680,France,Male,36,3,78247.31,1,1,1,63795.8,0
Gray,613,Germany,Male,69,9,125397.21,1,0,1,8751.59,0
Matthews,608,Spain,Female,38,9,139393.19,1,0,1,57600.66,0
Colombo,638,Germany,Female,39,0,96877.21,2,1,1,95007.8,0
Genovese,596,Spain,Male,32,4,148507.24,2,0,1,146504.35,0
Douglas,550,Germany,Female,42,10,120170.07,1,1,0,63092.65,1
Chukwuebuka,596,Spain,Male,29,2,135369.71,2,1,1,1591.19,0
Stevenson,544,Spain,Male,37,2,86459.8,2,0,0,135067.02,0
Jefferies,686,Germany,Male,43,2,143340.44,1,1,1,97847.05,0
Watson,718,Spain,Male,28,6,144094.2,2,1,0,146875.86,0
Gboliwe,530,Spain,Female,41,4,98795.61,2,0,1,147606.71,0
Saunders,754,Germany,Female,39,3,72012.76,1,1,1,24156.03,0
Dean,691,Germany,Male,27,3,149049.92,2,1,0,142367.72,0
Meagher,567,Spain,Male,35,8,122220.19,1,1,0,88659.07,0
King,701,Spain,Female,35,9,142872.36,2,0,0,170996.86,0
Estes,596,France,Male,39,9,162318.61,1,1,0,48963.59,0
Hope,506,Spain,Male,32,8,148430.55,2,0,1,182692.8,0
Murray,660,France,Male,34,1,143249.67,2,1,0,9692.58,0
Ibeamaka,504,Spain,Male,40,5,98444.19,2,0,0,146703.36,0
Tsao,594,France,Male,27,0,107944.33,1,0,0,151912.49,0
Hanson,708,Germany,Male,42,9,88980.32,2,1,1,104804.74,0
Spring,767,Spain,Male,31,6,187013.13,2,1,1,195668,0
Wilson,634,Spain,Male,31,9,141136.62,1,1,1,179485.96,1
Uwaezuoke,748,France,Male,34,5,201009.64,1,1,1,137001.1,0
Lamb,675,Spain,Male,32,10,134692.4,2,1,0,191545.65,0
Chung,665,Spain,Female,40,1,120509.81,1,0,1,116766.79,0
Lambie,553,France,Male,38,3,131852.81,1,0,0,187915.7,0
Tucker,506,Germany,Female,59,3,130854.59,1,1,0,78365.75,0
Jideofor,452,Spain,Male,44,3,90145.04,1,1,0,69697.74,0
Parsons,685,France,Female,33,6,107949.45,2,0,1,186785.01,0
Hamilton,748,Germany,Female,40,3,91547.84,2,0,0,38153.19,0
Loggia,737,Spain,Female,39,7,128029.72,2,0,0,55356.39,1
Lu,572,Germany,Female,48,3,67495.04,1,1,0,38411.79,1
Iweobiegbunam,709,France,Female,30,5,109137.12,2,0,1,161388.22,0
Hingston,781,France,Female,27,5,120962.59,2,0,0,72969.9,0
McIntyre,599,Germany,Female,49,10,192390.52,2,1,1,166236.38,1
Lumholtz,722,Germany,Female,48,10,97990.49,1,1,1,3472.63,1
Mao,684,Spain,Male,24,8,103399.87,1,1,1,22527.27,0
Toscani,665,Germany,Male,32,1,110738.89,1,0,0,11865.76,0
Wang,772,Germany,Female,51,9,141099.43,1,0,1,46675.51,1
Padovano,724,Germany,Female,35,0,45408.85,2,0,1,167313.07,0
Kapustina,531,Spain,Male,70,1,91611.12,2,0,0,99503.19,0
Manners,643,Germany,Male,41,7,118897.1,1,1,1,49667.28,0
Dunn,695,Spain,Female,31,8,119624.6,2,0,1,131644.41,0
Dale,669,France,Male,29,7,111565.91,2,1,1,138145.62,0
Mellor,603,Germany,Female,40,8,111677.88,1,0,0,105052.9,0
Sturt,662,Spain,Female,41,4,124532.78,1,1,0,75884.65,1
Yao,850,Spain,Male,38,7,112211.61,1,0,1,162087.82,0
Kennedy,721,France,Male,40,3,84309.57,1,1,1,144874.67,0
De Salis,702,Spain,Female,35,8,107978.4,2,1,0,54689.16,0
Thompson,685,Spain,Male,23,5,108204.52,1,0,0,141152.28,0
Yobachukwu,648,Spain,Female,56,6,85162.26,2,1,0,140991.23,1
Sung,554,Germany,Female,55,0,164701.68,1,0,1,140003,1
Lu,730,France,Male,34,5,103741.14,2,1,0,138882.98,0
Barlow,721,France,Female,55,3,154475.54,1,1,0,65864.4,1
Mahomed,694,France,Male,60,9,83134.3,1,1,1,57088.97,0
Tsao,647,Germany,Female,22,3,104857.19,2,0,1,62083,0
Bellucci,706,France,Male,54,9,100727.5,1,1,1,186238.85,0
Quinn,528,Germany,Female,62,7,190125.43,1,0,0,168507.68,1
Parry-Okeden,664,France,Female,44,8,103914.17,1,1,1,115452.51,1
Scott,505,Germany,Female,37,10,175214.71,2,1,1,52693.99,0
Bergamaschi,531,Germany,Female,42,6,94667.29,2,1,0,75248.75,0
Illingworth,639,Spain,Female,27,8,152581.06,2,1,0,6251.3,0
Obidimkpa,700,Spain,Female,46,5,101126.66,2,0,1,45424.13,0
Chukwuebuka,435,Germany,Male,37,8,142862.21,1,0,1,980.93,1
Mishina,628,France,Male,30,8,70655.48,1,1,1,13126.9,0
P'eng,537,Spain,Female,38,1,134381.52,2,0,1,41233.97,0
H?,684,France,Male,27,2,144848.74,1,1,1,71725.73,0
Dietz,567,Germany,Male,40,7,179334.83,1,1,0,138552.74,0
Tien,773,Germany,Male,51,8,113574.61,2,1,1,86701.4,0
Azubuike,350,Spain,Male,54,1,100683.54,1,1,1,191973.49,1
